@relation gruposArtificiais

@attribute x NUMERIC
@attribute y NUMERIC
@attribute class {1,2,3}

@data
484.23425,516.78596,1
492.62187,529.08864,1
496.90804,542.09659,1
505.49258,561.93225,1
505.69033,475.26164,1
489.85564,525.47682,1
503.14195,515.67909,1
514.10779,505.2475,1
490.141,546.60252,1
449.94559,458.82108,1
407.46622,452.64038,1
532.29741,531.94714,1
508.85917,536.61596,1
463.01682,453.12218,1
494.93869,531.5766,1
506.8375,552.67097,1
511.131,561.97078,1
494.79723,535.85658,1
506.07162,537.16968,1
499.5369,517.42357,1
507.92452,529.72625,1
512.21069,542.7342,1
520.79523,562.56986,1
491.6629,534.5594,1
505.15829,526.11443,1
518.4446,516.3167,1
478.02641,485.39193,1
425.06259,467.50838,1
500.30062,482.81102,1
487.56461,461.37151,1
501.83256,458.37886,1
434.74303,459.89717,1
429.15788,463.92837,1
522.9522,569.16725,1
522.99355,548.15446,1
507.47511,583.27626,1
511.76861,592.57607,1
521.57687,593.87911,1
473.5535,477.87191,1
479.77099,550.5793,1
496.44754,515.69881,1
496.90805,538.90853,1
506.76781,577.8725,1
505.69034,472.07358,1
453.51186,459.80295,1
498.67869,549.47243,1
509.64453,539.04084,1
527.12241,529.38703,1
515.61947,536.60953,1
407.46623,449.45232,1
527.83415,565.74048,1
508.85918,533.4279,1
457.27834,488.19073,1
498.76436,518.18677,1
469.2185,488.27231,1
512.40623,577.91103,1
498.6229,583.03973,1
506.07163,594.5546,1
400.06969,467.05235,1
506.6493,582.01029,1
430.59657,491.72536,1
472.97446,470.75396,1
517.80493,572.81601,1
420.35612,470.64232,1
418.97739,465.94548,1
429.94323,455.51389,1
490.77862,469.45166,1
452.47984,464.32032,1
435.91817,453.08258,1
450.18612,450.08993,1
462.79789,477.11264,1
442.5477,486.24473,1
477.04426,474.16331,1
508.96612,584.49825,1
488.98442,474.24489,1
478.61288,470.79249,1
414.45833,458.06811,1
394.96881,460.67625,1
528.96567,561.60676,1
425.49569,485.34926,1
482.53862,477.13007,1
512.70405,566.43991,1
523.01139,553.53167,1
413.87651,459.56938,1
424.84235,449.13779,1
500.34278,475.82777,1
477.36285,474.76133,1
491.6308,471.76868,1
457.69701,470.73654,1
437.44682,479.86863,1
475.76904,457.58544,1
531.28249,564.09472,1
487.7092,457.66702,1
488.17704,477.1686,1
470.56805,492.49907,1
490.76898,497.00022,1
430.03738,475.34128,1
521.95195,595.40011,1
494.35761,477.06033,1
511.86869,500.08404,1
477.63548,458.68376,1
435.65877,484.03214,1
448.94508,474.23441,1
445.24588,468.90371,1
458.8981,469.45167,1
451.53985,462.68632,1
464.97102,473.55405,1
463.48001,462.7679,1
490.08987,507.13628,1
450.16452,487.39818,1
513.08535,465.1197,1
425.57411,478.52933,1
489.43383,457.03866,1
489.89434,480.24838,1
507.40542,503.27209,1
469.34655,472.07358,1
431.1955,487.22019,1
444.48181,477.42246,1
455.44765,466.99087,1
455.07244,457.97468,1
463.31922,480.89819,1
446.75755,469.66045,1
460.38789,481.33284,1
507.43062,470.73655,1
501.84547,474.76775,1
496.81018,493.92923,1
491.75065,459.52662,1
508.75034,494.01081,1
513.04384,503.31062,1
500.53573,560.08576,1
506.70924,519.95419,1
496.34886,582.45982,1
510.47497,576.90941,1
429.32135,487.2621,1
513.78152,573.40923,1
455.31912,501.40365,1
461.8008,498.69718,1
515.25656,581.35295,1
498.80515,584.94879,1
432.75608,467.53883,1
441.00286,490.46234,1
532.19734,568.49005,1
438.70914,476.23195,1
485.11426,480.3007,1
464.86407,489.43279,1
437.51242,473.5257,1
512.79179,579.39737,1
449.45258,473.60728,1
519.41994,573.44776,1
488.42114,459.98094,1
495.86987,471.49581,1
473.39488,511.04746,1
510.47497,479.35503,1
484.15584,526.15633,1
532.27222,515.38669,1
479.54831,471.43597,1
427.26426,474.62402,1
427.36983,485.94498,1
464.24773,483.79857,1
475.21357,473.36698,1
441.04501,487.30475,1
501.57584,471.97164,1
485.01417,460.7339,1
499.28212,457.74125,1
502.32973,503.25467,1
524.79943,582.5239,1
445.8427,472.27883,1
510.02556,455.11658,1
510.4934,474.61816,1
478.21937,477.19642,1
442.9482,450.45467,1
502.66432,522.45882,1
500.11594,562.87627,1
511.08178,552.44468,1
529.2714,579.14432,1
505.83316,583.81314,1
508.10499,609.16796,1
503.04561,584.36686,1
504.89851,576.92343,1
509.18468,589.93138,1
517.76922,609.76704,1
502.13228,573.31161,1
515.41859,563.51388,1
532.35937,550.65098,1
521.13581,584.45075,1
507.21533,579.41139,1
519.11414,600.50576,1
523.40764,609.80557,1
505.79865,625.13604,1
517.07304,626.44914,1
514.58117,506.47416,1
507.12966,511.86744,1
511.30203,568.90243,1
509.00831,554.67204,1
509.2631,580.561,1
517.65072,592.86368,1
501.3891,597.69683,1
511.69644,584.78859,1
498.80655,505.57604,1
519.92619,616.36443,1
519.96754,595.35164,1
518.55086,641.07629,1
503.7418,625.06968,1
502.66433,519.27076,1
506.61852,586.23802,1
524.0964,576.58421,1
529.15513,595.04445,1
512.59346,583.80671,1
524.80814,612.93766,1
505.83317,580.62508,1
509.38022,625.10821,1
503.62329,629.20747,1
514.77892,620.01319,1
505.94011,631.69543,1
525.93966,608.80394,1
509.67804,613.63709,1
519.98538,600.72885,1
528.25648,611.2919,1
508.84268,547.28122,1
512.69354,504.54391,1
503.28273,518.77688,1
510.1876,538.01994,1
514.4811,547.31975,1
508.1465,563.96332,1
507.35028,618.81762,1
524.14533,624.43207,1
512.97167,627.50848,1
510.05934,512.31688,1
504.37941,550.46927,1
510.01783,550.5078,1
503.68323,567.15137,1
507.44896,624.10659,1
512.23055,628.55013,1
529.17133,615.68723,1
509.76578,626.59455,1
516.39393,620.64494,1
507.44896,526.55221,1
529.24621,562.58387,1
501.49468,518.47712,1
503.94161,503.57851,1
518.65097,553.24101,1
530.59113,553.32259,1
517.27564,577.95287,1
529.18764,564.60093,1
504.16222,627.10656,1
521.77342,629.72108,1
506.99955,502.31376,1
507.46739,521.81534,1
504.16222,627.10656,1
521.77342,629.72108,1
506.99955,502.31376,1
507.46739,521.81534,1
499.26476,497.64114,1
493.21002,500.45931,1
511.18161,481.65648,1
491.0814,482.18245,1
503.7301,487.04976,1
494.78228,495.23442,1
480.8618,490.19506,1
480.72034,494.47504,1
493.87505,505.19052,1
481.13904,483.75101,1
495.40699,480.75836,1
499.26477,494.45308,1
484.35305,491.83116,1
482.55885,496.62439,1
493.91721,498.20727,1
485.20523,494.14818,1
481.75147,499.5481,1
487.93204,499.43983,1
509.29398,479.72623,1
499.88317,493.9592,1
489.78835,478.71807,1
496.54178,481.63905,1
506.65978,487.4992,1
483.00826,479.41816,1
483.46877,502.62788,1
501.00505,493.11605,1
495.4199,497.14725,1
485.32508,481.90612,1
481.99557,482.36044,1
489.4443,493.87531,1
504.0494,501.73453,1
473.12274,493.81547,1
498.09512,493.65944,1
500.54205,478.76083,1
491.70118,491.47028,1
498.42941,496.95913,1
495.15027,494.35114,1
478.5886,483.1134,1
492.85655,480.12075,1
491.65983,477.4145,1
503.59999,477.49608,1
504.06783,496.99766,1
498.42941,496.95913,1
495.15027,494.35114,1
478.5886,483.1134,1
492.85655,480.12075,1
491.65983,477.4145,1
503.59999,477.49608,1
504.06783,496.99766,1
474.31136,466.09807,1
446.64744,476.22836,1
437.32996,460.99718,1
466.128,450.63938,1
478.7767,455.50669,1
469.82888,463.69135,1
455.9084,458.65199,1
455.76694,462.93197,1
446.38504,464.84102,1
468.92165,473.64745,1
456.18564,452.20794,1
470.45359,449.21529,1
474.31137,462.91001,1
441.59549,461.59039,1
459.39965,460.28809,1
445.66529,464.99974,1
457.60545,465.08132,1
447.23391,461.62892,1
468.96381,466.6642,1
462.54555,476.8355,1
445.98388,465.59776,1
460.25183,462.60511,1
444.39007,448.42187,1
456.33023,448.50345,1
462.97864,467.89676,1
446.25651,449.52019,1
484.34058,448.18316,1
474.92977,462.41613,1
464.83495,447.175,1
435.5614,474.91047,1
471.58838,450.09598,1
447.51253,469.42984,1
433.59205,464.39048,1
481.70638,455.95613,1
458.51537,471.08481,1
437.96758,462.91001,1
476.05165,461.57298,1
470.4665,465.60418,1
460.37168,450.36305,1
457.04217,450.81737,1
464.4909,462.33224,1
448.16934,462.2724,1
473.14172,462.11637,1
475.58865,447.21776,1
458.83617,465.39864,1
466.74778,459.92721,1
445.95869,448.23911,1
443.8346,464.20341,1
453.6352,451.57033,1
467.90315,448.57768,1
466.70643,445.87143,1
478.64659,445.95301,1
446.8404,468.03285,1
443.8346,464.20341,1
453.6352,451.57033,1
467.90315,448.57768,1
466.70643,445.87143,1
478.64659,445.95301,1
446.8404,468.03285,1
459.70243,473.01888,1
449.76007,474.58744,1
450.6166,473.19687,1
469.16308,469.59726,1
447.20963,473.94983,1
447.20963,473.94983,1
494.42949,562.62366,1
503.60906,560.80281,1
496.27366,567.9521,1
498.93203,577.26281,1
504.20631,564.15822,1
508.11161,575.44196,1
500.7762,582.59125,1
480.45063,571.10339,1
482.97288,582.17021,1
465.78915,573.43206,1
504.84816,557.79495,1
474.96873,571.61121,1
467.63332,578.76051,1
469.67608,588.44178,1
479.8272,569.14218,1
503.90339,552.04437,1
498.29053,584.95616,1
481.67137,574.47062,1
472.23938,563.18695,1
463.86805,574.04957,1
475.8868,570.41046,1
488.27522,577.86096,1
474.31398,573.4244,1
502.56495,584.64424,1
492.58504,570.92561,1
508.19186,576.33772,1
500.99213,587.65819,1
468.36726,589.30266,1
486.92478,570.4589,1
487.23317,588.16485,1
480.60633,578.65697,1
494.51708,557.33478,1
472.02766,560.8497,1
481.97154,572.31588,1
486.3741,574.26575,1
479.37714,578.30568,1
470.5004,563.99546,1
497.15357,589.98656,1
480.39872,575.32982,1
488.21827,579.5942,1
478.04716,570.21785,1
481.45592,587.69271,1
478.04716,570.21785,1
481.45592,587.69271,1
491.74633,557.8697,1
505.23792,564.72861,1
486.13347,590.7815,1
473.91497,570.24233,1
450.76953,580.84028,1
472.46327,567.79905,1
480.09849,567.06337,1
469.26481,575.44248,1
453.42791,590.15098,1
482.58094,563.25093,1
496.24888,572.50885,1
478.41752,584.88148,1
478.52567,570.07732,1
462.60748,588.33013,1
455.27208,595.47943,1
434.9465,583.99157,1
437.46875,595.05838,1
489.79592,570.42514,1
502.44656,563.51671,1
478.12485,572.39125,1
469.32395,584.40176,1
459.34404,570.68312,1
474.95086,576.09523,1
447.92763,594.38478,1
467.75113,587.4157,1
424.17195,601.32995,1
434.32307,582.03035,1
471.89086,571.79145,1
486.82106,585.04896,1
471.10492,595.9748,1
476.17569,576.61342,1
452.7864,597.84434,1
476.9205,569.17907,1
436.16724,587.35879,1
430.38267,583.29864,1
442.77109,590.74913,1
428.80985,586.31258,1
457.06082,597.53242,1
447.08091,583.81378,1
462.68774,589.22589,1
455.488,600.54636,1
493.39982,565.80302,1
441.42065,583.34708,1
441.72905,601.05303,1
435.1022,591.54514,1
504.8649,557.75116,1
506.70907,563.0796,1
488.90574,562.65855,1
436.46741,585.20405,1
440.86997,587.15393,1
433.87302,591.19386,1
451.64944,602.87473,1
442.71414,592.48237,1
501.73735,585.2346,1
507.01162,572.13002,1
510.91692,583.41375,1
483.25594,579.07519,1
499.81624,585.8521,1
432.54303,583.10603,1
435.95179,600.58088,1
432.54303,583.10603,1
435.95179,600.58088,1
263.48013,567.37531,2
234.42831,608.64823,2
242.74747,589.23687,2
248.29357,571.9053,2
255.2262,549.02763,2
276.71734,553.18721,2
253.14641,564.27941,2
266.3184,547.64111,2
282.26344,567.74573,2
266.3184,594.08971,2
247.38249,609.37171,2
248.98683,605.87518,2
273.25103,605.18192,2
269.5669,597.58624,2
266.23732,585.09165,2
251.29881,551.04548,2
274.95712,563.54964,2
259.29511,613.1115,2
267.61427,593.70014,2
259.77056,568.07963,2
280.093,553.4909,2
262.0523,569.12746,2
278.01321,568.74268,2
251.65336,563.58136,2
293.74043,563.92006,2
277.79539,590.26404,2
278.62539,574.30314,2
273.85363,610.33845,2
284.72802,601.35625,2
240.87443,598.86146,2
272.6945,597.91537,2
260.13469,573.66553,2
255.36293,609.70084,2
266.23732,600.71864,2
275.943,601.4119,2
272.61342,588.91731,2
257.67491,554.87114,2
269.85623,602.44388,2
273.32254,584.41904,2
242.10986,576.48466,2
254.66967,606.97386,2
261.6023,584.09619,2
283.09344,588.25577,2
259.52251,599.34797,2
272.6945,582.70967,2
288.63954,602.81429,2
291.82282,561.57158,2
286.27672,585.14252,2
274.49125,573.35705,2
245.19618,569.47574,2
254.90186,570.169,2
245.19618,597.20625,2
257.67491,586.11405,2
269.85623,571.20097,2
240.80441,612.47389,2
249.12357,593.06253,2
254.66967,575.73096,2
261.6023,552.85329,2
283.09344,557.01287,2
259.52251,568.10507,2
272.6945,551.46677,2
288.63954,571.57139,2
272.6945,597.91537,2
260.13469,573.66553,2
255.36293,609.70084,2
266.23732,600.71864,2
275.943,601.4119,2
272.61342,588.91731,2
257.67491,554.87114,2
253.27837,587.77884,2
277.78582,632.23981,2
232.54571,609.6404,2
238.09181,592.30883,2
242.94465,584.68294,2
272.06168,588.14926,2
256.11664,614.49324,2
250.57054,638.06418,2
238.77266,624.30069,2
263.04927,625.58545,2
249.09335,633.51503,2
257.41251,614.10367,2
267.81145,589.14621,2
263.65187,630.74198,2
268.22166,620.76282,2
262.51339,645.34657,2
272.91233,620.38911,2
282.78018,617.98977,2
259.01686,623.48501,2
243.99247,620.76282,2
238.26713,637.24354,2
243.8303,628.015,2
246.16782,633.54803,2
248.76284,620.30296,2
272.0569,629.79588,2
258.55099,617.98977,2
282.81519,617.29651,2
264.75535,622.8474,2
249.73096,620.12521,2
244.02269,644.70896,2
249.56879,627.37739,2
254.42163,619.7515,2
